idx,upstream_label,upstream_confidence,canonical_binomial,event_time_utc,bioclip_top1,bioclip_top1_score,bioclip_topk_json,agreement_flag,cross_check_status,resolution_basis,matched_rank,taxonomic_distance,bioclip_top1_kingdom,bioclip_top1_class,bioclip_top1_order,bioclip_top1_family,bioclip_top1_genus,agreement_rationale,vlm_description
1,ColumbaPalumbus,0.97,Columba palumbus,2026-06-28T09:24:16+00:00,Ptilonorhynchus violaceus,0.3425830602645874,"[[""Ptilonorhynchus violaceus"", 0.3425830602645874], [""Streptopelia chinensis"", 0.11939268559217453], [""Colluricincla harmonica"", 0.09931246191263199], [""Columba fasciata"", 0.08548753708600998], [""Patagioenas fasciata"", 0.051380619406700134]]",disagree,evaluable,unresolved_prediction,none,same_class,Animalia,Aves,Passeriformes,Ptilonorhynchidae,Ptilonorhynchus,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Ptilonorhynchus violaceus' is a different taxon (same_class)","The image shows a bird perched on a feeder that's suspended from a pole. The bird appears to be a pigeon or similar species, based on its size and shape. It is standing upright and facing the camera directly. There's a text overlay on the top right of the photo indicating ""Cameroball: 2037-09-23."" This suggests that the image was taken by an automated camera system on September 23, 2037. The setting appears to be outdoors during daylight, with the grass and some of the foliage visible beneath the feeder. The background is mostly out of focus, but it seems like a garden or park area. There's also a birdhouse visible in the corner of the photo."
2,ColumbaPalumbus,0.97,Columba palumbus,2026-06-28T10:29:32+00:00,Amanita populiphila,0.06127206236124039,"[[""Amanita populiphila"", 0.06127206236124039], [""Columba livia domestica"", 0.03724733740091324], [""Homo sapiens"", 0.03527018055319786], [""Demodex canis"", 0.02563374862074852], [""Fusarium solani"", 0.023275287821888924]]",disagree,evaluable,unresolved_prediction,none,non_animal,Fungi,Agaricomycetes,Agaricales,Amanitaceae,Amanita,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Amanita populiphila' is a different taxon (non_animal)","The image shows a bird feeder in a backyard with a grassy lawn. There are several birds perched on branches and eating from feeders. A clock can be seen hanging on the side of a structure, indicating it's approximately 12:05 PM. There is also a timestamp and location overlay on the image, which suggest the photo was taken during the daytime. The text ""Columbia 96"" might refer to an address or a label for the camera."
3,ColumbaPalumbus,0.97,Columba palumbus,2026-06-28T10:32:14+00:00,Columba livia domestica,0.11582067608833313,"[[""Columba livia domestica"", 0.11582067608833313], [""Ducula forsteni"", 0.07364088296890259], [""Homo sapiens"", 0.045805759727954865], [""Ectopistes migratorius"", 0.028933335095643997], [""Columba livia"", 0.026826364919543266]]",disagree,evaluable,unresolved_prediction,none,same_genus,Animalia,Aves,Columbiformes,Columbidae,Columba,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Columba livia domestica' is a different taxon (same_genus)","The image is a photograph captured by a motion-activated trail camera. It shows a grassy area with a small metal birdhouse containing two birds perched on it, one on the left side and another on the right. There are also two additional birds visible in the foreground of the photo, which appear to be flying or standing nearby. The setting suggests an outdoor environment with greenery and some artificial structures like the birdhouse. In the lower right corner of the image, there's an overlaid digital graphic that includes a timestamp, ""06:24"", indicating the time the photo was taken, as well as metadata about the camera's location (which is not visible in this description), and a label with text that is too small to read clearly. The timestamp shows it as 06:24 on what appears to be a Sunday due to the ""Sunday"" word on the lower right corner of the image. The photo quality suggests it was taken during daylight under natural light conditions."
4,ColumbaPalumbus,0.75,Columba palumbus,2026-06-28T12:37:15+00:00,Apus apus,0.20319409668445587,"[[""Apus apus"", 0.20319409668445587], [""Poa pratensis"", 0.12523798644542694], [""Oryctolagus cuniculus domesticus"", 0.09700983017683029], [""Passer domesticus"", 0.0572582371532917], [""Populus sp."", 0.02061990648508072]]",disagree,evaluable,unresolved_prediction,none,same_class,Animalia,Aves,,Apodidae,Apus,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Apus apus' is a different taxon (same_class)","The image shows a wildlife camera trap in an outdoor environment. In the foreground, there are three bird feeders with food scattered around them, indicating that birds have visited. A black and white cat is standing on the ground near the center of the image, facing towards the camera. To the left of the cat, there's a small green bird perched on one of the feeders. The background features a grassy area with a tree, and in the top right corner, a portion of a chain-link fence is visible. In the bottom right corner, there are watermark-like texts that seem to indicate ownership or usage information: ""Columbia Palisade"" and ""cameras.travelingcat.com."" The style of the image suggests it was taken from an indoor location looking out through a window onto this outdoor scene."
5,ColumbaPalumbus,0.63,Columba palumbus,2026-06-28T12:37:48+00:00,Apus apus,0.31922587752342224,"[[""Apus apus"", 0.31922587752342224], [""Homo sapiens"", 0.1451513171195984], [""Lepista personata"", 0.04841647297143936], [""Bradysia ocellaris"", 0.03412012383341789], [""Chaetura pelagica"", 0.021207299083471298]]",disagree,evaluable,unresolved_prediction,none,same_class,Animalia,Aves,,Apodidae,Apus,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Apus apus' is a different taxon (same_class)","The image appears to be a screenshot from a security camera, which captures an outdoor scene. In the center of the photo, there's a bird feeder with several small birds perched on it and surrounding branches. There are also two larger birds nearby, one with its wings spread out as if in flight or about to take off.

The camera-trap image is overlaid with a digital user interface that shows the time stamp ""03/14 23:55"" in the top right corner and the name ""Columbia Pond 9.6%"" in the bottom right corner, suggesting this might be a location identifier or part of a monitoring system for the area. The timestamp indicates the photo was taken at night.

The setting is an outdoor area with grass visible around the bird feeder, and there are no humans or buildings directly within the frame of the image. The overall scene suggests that the photo was captured during late evening or early morning due to the lighting conditions, which appear to be artificial rather than natural light."
6,ColumbaPalumbus,0.97,Columba palumbus,2026-06-28T12:45:19+00:00,Columba palumbus,0.2578917145729065,"[[""Columba palumbus"", 0.2578917145729065], [""Anas discors"", 0.17368043959140778], [""Anas discors linnaeus"", 0.14961683750152588], [""Columba fasciata"", 0.09765007346868515], [""Columba oenas"", 0.08049699664115906]]",agree,evaluable,exact_species_match,species,same_species,Animalia,Aves,Columbiformes,Columbidae,Columba,both resolve to Columba palumbus,"The image shows a wildlife camera trap scene with a bird perched on the branch of a tree in the foreground. The background features an outdoor setting with what appears to be a ground surface covered in grass or low vegetation. There are two other birds visible, one closer to the foreground and another further away. To the right side of the image, there's an artificial lighting structure, suggesting this photo may have been taken at night or during a time when natural light is not sufficient for the camera. The timestamp in the top left corner indicates the photo was taken on ""Sat 26 01:58,"" and the bottom right corner shows a timestamp with ""Sun 27"" and the word ""CANDIDA."" Additionally, there's a small green box labeled ""candidac.caipus@69.5"" in the lower right corner. The overall quality of the image is slightly grainy due to the lighting conditions or the camera's capabilities."
7,ColumbaPalumbus,0.89,Columba palumbus,2026-06-28T12:45:54+00:00,Coccothraustes vespertinus,0.29614749550819397,"[[""Coccothraustes vespertinus"", 0.29614749550819397], [""Anas platyrhnchos"", 0.07798024266958237], [""Anas superciliosa rogersi"", 0.052789341658353806], [""Lepomis macrochirus"", 0.04779190570116043], [""Buteo pennsylvanicus"", 0.02838730998337269]]",disagree,evaluable,unresolved_prediction,none,same_class,Animalia,Aves,Passeriformes,Fringillidae,Coccothraustes,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Coccothraustes vespertinus' is a different taxon (same_class)","The image shows a backyard scene viewed from an above-ground perspective. In the center of the frame, there is a bird feeder with three birds perched on it. To the left, a small black and white dog appears to be sniffing the ground. On the right side, a circular lawn ornament is visible, featuring a face partially hidden by the edge of the ornament. The yard is bordered by a fence on one side. There's a watermark in the lower right corner with the text ""Cherry Creek Park"" and ""Columbus 208,"" which suggests that this is an image from a wildlife camera located in Cherry Creek Park in Columbus, Ohio, in the year 2008. The time stamp indicates it was taken at 6:43 pm."
8,ColumbaPalumbus,0.81,Columba palumbus,2026-06-28T12:46:27+00:00,Columba palumbus,0.20488493144512177,"[[""Columba palumbus"", 0.20488493144512177], [""Columba oenas"", 0.07995040714740753], [""Prunus sect. prunus"", 0.06431466341018677], [""Fringilla coelebs"", 0.04216378554701805], [""Parus major"", 0.02814253233373165]]",agree,evaluable,exact_species_match,species,same_species,Animalia,Aves,Columbiformes,Columbidae,Columba,both resolve to Columba palumbus,"The image shows a wildlife camera set up on the ground in an outdoor setting. In the foreground, there's a bird feeder with two perches, one of which has a small bird perched on it. The bird feeder is centrally located in the middle of the frame and appears to be well-stocked for birds. The camera itself is mounted on a stand with a screen visible at the bottom, showing the image number ""0"" at the top right corner, indicating this may be an initial setup or the first photo captured by the device. In the background, there's a small amount of greenery and a patch of grass, suggesting this camera is placed in a yard or garden area. The sky is overcast, casting a soft light on the scene."
9,ColumbaPalumbus,0.7,Columba palumbus,2026-06-28T12:49:08+00:00,Anas superciliosa rogersi,0.2543621361255646,"[[""Anas superciliosa rogersi"", 0.2543621361255646], [""Puccinellia parl."", 0.043127868324518204], [""Anas platyrhnchos"", 0.02480960823595524], [""Pterodroma brevirostris"", 0.02123989537358284], [""Oligosoma northlandi"", 0.016855936497449875]]",disagree,evaluable,unresolved_prediction,none,same_class,Animalia,Aves,Anseriformes,Anatidae,Anas,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Anas superciliosa rogersi' is a different taxon (same_class)","The image shows a backyard scene with various elements. There's a bird feeder in the center with several birds perched around it. To the right of the feeder, there are three circular bird baths, each containing water. In the background, there is a small lawn area and some green plants. On the left side, a birdhouse is visible on top of a fence post. The image appears to be taken from a wildlife camera that has captured a moment when birds are active around their feeders and water sources. There is no human activity or other objects that stand out in this image."
10,ColumbaPalumbus,0.97,Columba palumbus,2026-06-28T13:14:32+00:00,Columba oenas,0.13022679090499878,"[[""Columba oenas"", 0.13022679090499878], [""Columba palumbus"", 0.11528809368610382], [""Apus apus"", 0.08768697828054428], [""Quercus robur"", 0.08582350611686707], [""Malus domestica"", 0.044060006737709045]]",disagree,evaluable,unresolved_prediction,none,same_genus,Animalia,Aves,Columbiformes,Columbidae,Columba,"upstream 'ColumbaPalumbus' -> Columba palumbus, but BioCLIP's top-1 'Columba oenas' is a different taxon (same_genus)","The image shows a scene with a black cat sitting on top of a bird feeder, which appears to be a birdhouse with various perches. In front of the feeder, there's a table that seems to be part of the camera trap setup. A few steps away from the cat, there is another table with a bird bath, and around these tables are scattered bird seed.

In the background, there is a lush green lawn with various plants and shrubs. To the left side of the image, partially cut off, there's what looks like an object that could be a fence or a wall with a black gate. The lighting suggests it's daytime, and the image seems to have been taken in an outdoor area, possibly in a backyard or a garden.

There is also a text overlay on the upper right side of the image, which reads ""Celestial Cats 5.8"", indicating that this might be a game score or some other type of data from the camera trap system. The style of the image appears to be a screenshot from a security camera or a wildlife monitoring device used in tracking animals."
